478C 23% 371C 289C 795C
925C 380C 87% 7% 758g
12% 627g 456g 119C 110C
79% 667g 642C 920g 763C
790g 51% 485g 18% 543C
605g 15% 61% 299C 383C
69% 349C 918C 26% 2%
906g 478g 87% 900C 385C
55% 551C 279C 146g 17%
987C 44C 436C 679g 153C
606C 66% 72g 752g 173C
68% 184C 303C 302g 10%
330C 29% 64% 689C 834g
3% 11% 877g 326C 52%
823g 80% 145C 823g 732C
229C 50% 790C 477C 24%
26% 751g 898C 73% 963C
76C 490C 46% 692g 84C
890g 192C 124C 565C 65%
912C 216g 527C 49% 9%
556g 802g 80% 15% 1%
701C 784g 4% 579C 862C
8% 640g 143C 342C 708g
508C 7% 35% 611g 2%
21% 96g 59% 567C 69C
39% 46% 605C 499g 895C
35C 28% 2% 682C 946C
909g 464g 25% 157g 369C
474g 307g 93% 82C 563C
56% 37% 194g 579C 772C
627C 345g 39g 570g 15%
-
341C 82g 49% 805g 262C
850g 220g 759g 465C 91%
19% 11% 863g 684g 377g
187g 32C 442g 968C 175g
86g 96% 615C 325g 896C
776C 41% 329g 678C 216C
340C 126C 25C 54% 24%
928g 11% 617g 633C 45%
59C 448g 455g 156C 142C
94% 4% 855C 293C 1%
794g 475C 208C 984g 387C
74C 35% 150C 651C 76C
83% 276C 10% 721C 896C
505C 408C 596g 777g 514C
27% 62% 463g 153g 474C
12% 904g 18% 723C 29%
424C 61% 38% 504g 189g
69g 959g 179C 551g 240g
18% 236g 444C 473g 809g
138g 208C 769g 9% 77%
44% 568C 399C 377g 40%
328C 174g 80% 226g 138C
217C 21% 781C 113g 369C
493C 19g 969g 513C 20%
668C 755g 965C 166C 540C
228g 33% 238g 944g 257C
59g 679g 64% 12% 10%
30C 673g 562g 872g 831g
384g 225C 12% 736C 54%
22% 30% 31% 549g 993C
480C 615C 60% 24% 257C
148C 86% 1% 2% 260C
45% 44% 384C 157g 851C
33% 173C 188g 4% 34%
308C 280C 942C 398g 95%
37% 492g 13% 16% 8%
646g 650C 900g 857C 524C
16% 792C 23% 143g 217g
91% 8% 231g 64C 818g
315C 330g 989g 509C 511g
73% 569g 12% 5C 486g
614C 981g 14% 920C 912C
9% 908g 25% 221g 95g
144C 812C 39% 218g 162g
718C 535C 726C 264g 579g
90g 756g 79% 20% 413C
185g 67% 975C 88g 550C
50% 731g 20% 986g 457C
113g 806g 601C 28% 58%
246C 51% 320g 4% 71C
364C 44% 811C 553C 701C
68% 613g 387g 560g 766g
9% 374C 77% 8% 456C
78% 487C 17% 887C 1%
35% 1% 743g 715g 461g
707C 99% 582g 128C 933g
137C 108g 734C 76% 901C
913g 946g 89% 5% 49g
191g 96% 2% 820C 654C
7% 717C 768C 795C 777g
825g 133C 62C 165g 31%
605C 23% 20% 35g 183C
638g 185C 10% 39% 702C
702C 32% 3C 961g 26g
34% 415g 337C 274C 44%
66% 952C 4% 256C 18%
58% 190g 409g 237C 65g
815C 246g 61% 18% 660C
645g 430g 729g 60% 657C
0% 854C 306C 87C 338g
510C 3% 19% 44g 52g
283C 834C 95% 501C 605C
40C 326g 47% 51% 0%
386C 354g 52% 906C 298g
305g 7% 29% 407C 63C
9% 969C 998g 673g 60%
57% 0g 31% 2% 101g
49g 89C 897C 712g 86%
20g 230g 635g 809C 442C
66% 31% 0% 771C 228g
229g 630C 687C 757g 888C
78% 290g 602C 9% 10%
275C 35% 423g 67C 18%
70% 24% 174g 631C 364C
26% 780C 18% 2% 145C
579g 89% 999C 416g 10%
714C 43% 832g 253C 652C
687C 563C 899C 553C 362C
578C 119g 508g 684C 889g
264C 779C 596g 81% 780C
819g 464C 991C 0% 8%
-
739C 67C 516g 95% 3%
4% 822C 682g 697C 270g
702C 698g 80g 789C 22%
24% 864g 972C 881g 52%
62g 97% 2% 374C 663g
76% 85C 2% 4% 495C
152C 323g 411C 396C 667C
655g 93g 17% 9% 60%
687g 265C 36% 58% 3%
539C 557C 35% 862g 964g
200C 962g 76% 836g 322g
860C 81% 133C 9% 6%
561g 84% 7% 790C 403g
894C 78g 0% 87% 819g
-
80% 90g 304C 14% 6g
993C 3% 31% 46% 729C
650C 791g 637g 346g 469C
34C 678C 658g 89% 414C
36% 90g 872C 45% 940C
191C 731C 450g 984g 94%
304g 658g 657g 17% 733g
593C 492C 512g 868C 194C
877C 751g 72% 25% 702g
-
358g 871g 313C 63% 625g
57C 39% 21% 960g 849g
18% 224C 660g 656C 184g
282C 82% 588C 397g 859C
398g 522C 8C 992C 727C
94% 781g 124C 500C 5%
59% 931C 1g 741g 1%
125g 516g 61% 885g 198C
98% 1% 362C 372C 0%
899g 729g 220g 1% 11%
266C 47% 11% 659g 313C
807C 201g 395g 50% 779C
354C 643C 861g 70% 528C
142C 365g 29% 650g 574C
150g 79% 950C 267C 647g
117g 429C 788C 75% 908g
65C 50% 992g 810g 520C
309g 118g 725g 968C 121g
743C 68% 7% 814C 119g
182C 125g 19% 764g 7%
867g 58% 510C 30% 9%
445C 117g 49% 18% 795g
590g 529g 62% 833g 330g
-
197C 574C 28% 69% 391g
855C 41% 916g 7% 9%
22% 15C 43% 14% 15%
295g 587C 630g 883g 25%
99% 842C 700C 903C 190C
79% 18% 303g 1% 1%
0% 551g 504g 906g 9%
14% 53% 21% 967g 9%
817g 74C 887C 71% 309C
253g 89C 849C 338g 334C
591g 9% 557g 474g 57%
385C 828C 900g 190C 512C
582C 61% 921C 617g 271C
760g 652g 69% 380C 27%
831g 829C 34% 374C 43%
28% 3C 462C 16% 889C
735C 990g 70% 300g 907g
98% 0% 0% 60C 75g
363g 8% 796C 64% 603g
428C 34% 430C 8% 6g
72% 480g 19% 6% 2%
65% 864g 0% 48C 314C
23g 694g 17% 61% 20%
440C 827g 518g 4% 510C
14% 283C 852g 46% 212g
904g 956C 145C 426C 24%
34% 21% 642g 328C 44%
710C 517g 88% 771g 623g
46% 22% 830C 24% 0%
93% 74C 433g 3% 2%
304C 795C 621C 895C 520g
729g 750C 122C 70% 8%
659g 22% 65% 153g 272C
80C 43% 55% 1% 658C
220C 51% 40C 36% 6%
717g 24% 176C 898g 45%
697C 451C 21% 73% 5%
520C 7% 797g 648g 861C
141g 819g 670g 37% 325g
444g 644g 68% 505C 754C
98% 291g 0% 856g 1%
26% 648C 350C 19% 592C
239g 745C 635C 953g 95%
956g 981g 54C 87% 11%
980g 811C 54% 37% 601C
-
40% 315C 19% 381C 80g
68C 21% 62% 3% 131g
74% 48C 741g 6% 515g
510g 885C 784C 9g 68%
605C 67% 8% 579g 241g
48% 650C 923g 258C 20%
835g 82% 371g 13% 135g
174g 33% 470g 892g 59%
112g 1% 13% 36% 258g
832g 88g 518g 636C 895g
93% 2% 62g 3% 88g
40% 123C 667C 870C 29%
67g 25% 480g 318g 892C
592g 35% 164g 550C 356g
508C 190g 341C 554g 382g
91% 4% 660g 1% 299C
44% 190C 755C 12% 27%
295C 32% 686C 15% 285C
776g 83% 946g 955C 574g
664g 850g 297C 265g 263C
62% 8% 748g 621C 91C
226g 87% 3% 405C 244g
55% 8% 467g 9% 18%
193C 240C 35% 9% 40%
867g 872g 172g 340C 517g
9% 845C 181g 108C 396g
225g 822C 0% 6% 66C
865C 953g 740g 6% 18%
16% 52% 676C 229C 30%
70% 920g 73C 854C 433C
821g 58% 92g 251C 730g
26% 326g 664C 65% 490g
872C 946g 404g 716g 98%
884C 151g 846g 93C 994C
460C 26% 151g 48% 537C
151C 694g 5% 469g 94%
74% 440C 388C 573g 440g
8C 191g 38C 78% 155C
864C 928C 9% 9g 158C
98% 0% 961C 729C 1%
5% 52% 232g 35% 7%
677C 10% 118g 142C 250g
49% 29% 991C 321C 132C
-
290g 367C 444C 683C 75%
84% 5% 904g 436C 70g
933C 21% 7% 36% 8%
331C 294g 85% 9% 46C
6C 540C 676C 624g 828C
202C 369C 612C 95% 421g
570C 397g 4% 956C 202g
789g 88g 64% 2% 22%
386C 420C 359g 43% 520C
557g 670g 60% 88C 509C
-
50% 762g 567g 810C 109g
997g 889C 253C 249C 794C
69g 188C 49% 464C 45%
891g 9% 208g 885C 44%
39% 240g 590g 355g 5C
709C 91g 449C 63% 30%
20C 663C 807C 10% 64%
40C 234C 515g 26% 60%
723g 557C 679C 507C 72%
33% 32% 325C 321g 71C
37% 49% 743g 100C 142g
4% 43% 384C 11% 929g
8% 44% 812g 1% 21%
52% 791g 117C 38% 108g
391C 791C 778C 980C 67%
98% 1% 254g 559g 922C
39% 962C 50% 517g 2g
188C 789g 91C 506C 69%
333g 53% 9C 747g 771C
689C 400g 93% 436C 551C
87C 535g 22% 796g 401g
854g 37% 397C 119g 819g
870C 852g 513g 59% 259C
91C 554g 927C 56% 905C
892C 796C 23% 57% 3%
84% 8% 536C 38C 878C
909g 48% 299g 440C 34%
317g 61% 376C 11g 18%
612g 320g 205C 606C 55%
245C 158g 380C 21% 417C
869C 519g 47% 25% 8C
265C 815g 48% 17% 616g
91C 421g 807C 410g 973g
53% 38% 8% 0% 0%
297C 51% 879g 133g 306C
233C 314g 702g 7% 151g
292C 678C 280C 319C 53C
83% 232g 463C 14% 2%
401g 998g 431g 837C 166g
74% 148g 16g 360C 18%
330C 116g 453C 378C 879C
941g 95% 3% 0% 368g
-
442C 78% 337g 7% 643C
355C 42% 51% 649g 305C
52% 919C 637C 336g 418g
757C 20% 39% 646C 234C
692g 3% 212C 908C 82g
85% 502C 831C 401g 7%
366g 384C 263g 448C 162g
903g 624g 41g 30% 754C
18% 347g 3% 213C 66%
20% 8g 655g 48g 53%
-
89% 6% 163g 78g 409C
35C 990C 896g 321C 570g
766g 13% 346C 422C 70g
290C 6% 159g 59g 86C
879C 70% 229C 4% 264g
7% 355C 404C 23% 854C
64% 241C 901C 540g 989g
82% 451C 442g 2% 934C
905g 920g 65% 4% 856g
156C 665C 90% 0% 0%
160C 712g 270g 643g 395g
83% 16% 913C 32C 665C
99% 260C 570g 684C 0%
212g 930g 561C 783C 44%
486C 183C 83% 752C 27C
808C 590g 44% 43% 233g
96% 711g 74C 2% 181C
88% 602C 9% 0% 0%
55% 9% 33% 858C 755C
25% 39% 781C 761g 173g
585g 314g 837C 76% 533C
10% 597C 985g 64% 899C
288g 74% 461C 493g 318g
868g 579g 795g 82g 27%
204C 255C 78C 40% 437g
13% 29% 254g 346C 55C
413C 71% 458g 762g 890g
60% 10% 600g 709g 802g
84% 15% 0% 481g 577g
72% 812C 687g 862g 19%
894g 198g 844g 84% 4%
403g 405g 233g 807g 19g
3% 50% 987C 37g 568g
601g 281g 39g 50% 382g
514C 27g 115C 87% 326g
659g 50% 696g 6% 238g
43% 591g 342C 453C 46%
439g 324g 143g 430g 13%
40% 390g 814g 631g 877g
47% 24% 7% 20C 8%
836C 49% 10g 951C 726C
1% 93C 88% 5% 2%
366C 80% 16% 886C 377C
167C 829g 77C 513C 632C
96% 510g 1% 397g 169g
20% 353C 58% 12% 559g
542C 70g 494C 563g 527C
951C 33% 61% 189g 223C
842g 598C 548g 669g 225C
534g 658C 491C 56% 36%
954g 611g 333g 50% 595C
585C 720g 37% 503C 945C
291C 48% 19% 158C 746C
931C 94% 0% 1% 4%
67g 8C 26% 38% 8%
510C 536g 352g 49g 271g
238C 201C 49% 64C 34%
643C 909g 95% 53g 968C
457C 64% 188C 670g 432C
738g 848C 154g 636g 721C
736g 384C 21% 536C 535g
588C 35% 44% 373g 466g
-
0% 30% 10% 40% 100g
-
3% 0% 0% 1C 0%
-
-
